gene_name	A549_0_1	A549_0_2	A549_0_3	A549_25_1	A549_25_2	A549_25_3
ENSG00000260370.1	0	0	0	0	0	0
ENSG00000237297.1	0	0	0	0	0	0
ENSG00000261456.5	13	14	11	14	7	10
ENSG00000232420.2	0	0	0	0	0	0
ENSG00000015171.19	6743	7380	6733	7424	7204	6320
ENSG00000276662.1	0	0	0	0	0	0
ENSG00000212331.1	0	0	0	0	0	0
ENSG00000151240.16	1664	1661	1249	1613	1539	1222
ENSG00000201861.1	2	2	0	0	0	1
ENSG00000239822.3	0	0	0	1	1	0
ENSG00000233021.2	0	0	0	0	0	0
ENSG00000225140.1	0	0	0	0	0	0
ENSG00000263511.1	0	0	0	0	0	0
ENSG00000180525.11	43	62	60	53	55	47
ENSG00000231601.1	0	0	0	0	0	0
ENSG00000107929.14	5040	5559	5124	5439	5349	4968
ENSG00000229869.1	7	6	5	9	5	7
ENSG00000205740.2	52	58	54	60	43	51
ENSG00000107937.18	10063	10981	11143	10884	11220	10143
ENSG00000148377.5	1	0	1	1	1	2
ENSG00000232656.7	23	26	24	37	19	31
ENSG00000067064.11	4483	5770	3385	4510	5050	3199
ENSG00000047056.15	1116	1175	995	1244	1214	965
ENSG00000229205.3	0	0	0	0	0	0
ENSG00000185736.15	0	0	0	0	0	0
ENSG00000282390.1	0	0	0	0	0	0
ENSG00000233052.1	0	0	0	0	0	0
ENSG00000205696.4	0	0	0	0	0	0
ENSG00000234962.5	0	0	0	0	0	0
ENSG00000226694.2	0	0	0	0	0	0
ENSG00000278069.1	0	0	0	0	0	0
ENSG00000252998.1	0	0	0	0	0	0
ENSG00000227912.1	0	0	0	0	0	0
ENSG00000231326.6	1	0	0	0	0	0
ENSG00000212156.1	0	0	0	0	0	0
ENSG00000234556.1	0	0	0	0	0	0
ENSG00000234170.5	0	0	0	0	0	0
ENSG00000237500.1	0	0	0	0	0	0
ENSG00000235281.1	0	0	0	0	0	0
ENSG00000231743.1	0	0	0	0	0	0
ENSG00000234182.1	0	0	0	0	0	0
ENSG00000273001.1	30	48	50	51	49	38
ENSG00000067057.16	23939	27054	29716	28288	28375	28138
ENSG00000278419.1	0	0	0	0	0	0
ENSG00000107959.15	6991	7694	7848	7456	7463	7233
ENSG00000237399.7	63	66	88	84	56	83
ENSG00000236968.1	0	0	0	0	0	0
ENSG00000226762.2	0	0	0	0	1	0
ENSG00000227338.1	0	0	0	0	0	0
ENSG00000233321.1	1	0	0	0	0	0
ENSG00000236892.1	0	0	0	0	0	0
ENSG00000229672.2	0	0	0	1	1	0
ENSG00000228353.1	0	0	0	0	0	0
ENSG00000067082.14	4631	5681	4747	12309	11641	9981
